MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
82,0.859,1,LysoPI 20:4 [M-H]-;,619.29,619.2883,2.7451,406,986,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
89,0.9,1,LysoPI 18:2 [M-H]-;,595.29,595.2883,2.8558,796,836,100,LysoPI 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
100,0.958,1,AC 14:1 [M+H]+;,370.296,370.2957,0.8102,14,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
107,0.999,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,748,751,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
111,1.021,1,LysoPC 14:0 [M+H]+;,468.309,468.309,0.0,675,743,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
113,1.033,1,LysoPC 20:5 [M+Ac-H]-;,600.332,600.3301,3.1649,274,404,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
116,1.045,1,LysoPC 20:5 [M+H]+;,542.325,542.3247,0.5532,652,948,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
119,1.063,1,LysoPC 18:3 [M+H]+;,518.325,518.3247,0.5788,190,990,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
121,1.072,1,LysoPC 18:2 [M+Ac-H]-;,578.347,578.3458,2.0749,721,734,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
123,1.081,1,LysoPC 18:2 [M+H]+;,520.34,520.3403,-0.5765,912,924,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
